address,balance
PtggVEt4WTWB4VhWYM6xVSuRYgr9rTzDYSM,8485352973
PtkaESMrP86rJg9u664z91jbDbHY5hwsUv1,8485352973
PtZ4RwZSPxr1Q1PGYsi2SXPxS6X8HMcHCmN,8485352973
Pte7vzrqbhQsx16AkCU5B6E7UmYwakGeP4u,8485352973
PtjJXRL1AYvTjkmUdMQs2b4SNpL9iqKAQi1,8485352973
PtmjyuR3HPbjoiJriwcFECxx7i1HbbF89Gr,8485352973
PtguHTjpqpn9NmKTh2pU1Jw3gQFjpZcrcbM,8452284723
PtZftqpk5L9xeKG1YEyBfnwCXk5EnQLyE8r,8450023958
PtdEoWmBtSttXkrHxfRpVrHdaca6vqiCoAp,8431951333
PtW4ybu6Ej87bqAZN4UuhLqg1GzCg2fZM9E,8415953724
PtjVnzMnfTvwBjEzraKiDhmaSzWeXtx16hs,8361262127
PtiweQCANj3SZkFXh6DdZUnvNiX4fvu2UN2,8330423823
PtacnTmjekhK1Nnw26tJhj8wRpkgQJfTJUh,8329697586
PteT1s5sKnzJcGGBTj4dJLyWYRFnaxbfH8M,8242620119
PtnKFTVBtLw54iyxabeQf7rhwRPqw19bwbs,8193498054
PtWLf3vTuuHyApCrvhRiCjnQtKTRNPux1ZS,8177444641
PtWzRUwsSvfd4WbTrrLNsoENhFC2TqZB3up,8130391195
PtT5mWxxLNZnAxGgbQkhb32EpVHfjdHC1yG,8123846807
PtbuoNrnqv2zxwKaqxGuXMB5M3GRbfpdd6h,8039391971
PtdiU248dF2CsoGEh7NLRiQhB21MjJxWsXd,8017044289
PtX84m6tsJgTYQ6ML6AaKmzH3UuJqn6J7un,7955457145
Ptpe2Y6xbYQmm9zN2zR7SSLWnDYE2aUQ4Ee,7955301868
PtmRyyEXMV8MafHQPDkyrk6gw3bqLzEpLV8,7918222236
PtYfdezywDEpjGxod6BApjgejpZ2yDheGGQ,7912535217
PtWXSJtWH5W3B1SVmbiJxSHiPYi8xX5HmSg,7908371249
Ptj2acpAs9dH2G9xSpeyMvvcrzQjfNAMnF4,7898048879
PtT4w1cbfHKP9Sg1W9ozfygiWG38Ui5hT9A,7895924760
PtndsbMRxBKoqRt9UvTiDE6H83eSsUcsBgA,7867812958
PtdMengwBEgP93wLQdzj7qVoquLYsqabWmt,7817221687
PtgZ7c74woUSjkYUQiFuAoXNP6T319qcfXd,7793673675
Ptfg8jwX4447gy57puDpdVrdmpaPzoEk5Zb,7792342476
PtbJcppYu4eJZ4R6CheMTHWexnrvAVzEUPX,7768572642
PtWFyYAuXXBqVgiEboK4vZxR7atod4iHAN7,7676326099
PtVKc4z7QciBK3hpxm7aycJUpgHmwhxuVy2,7633939067
PtrD7Zwc8FNGK9bJ6g65Agn5K5V6ZjqMAnk,7630168997
Ptmp3iXHqMMwHabdXE8xXpz29W8s8zzWaWr,7607063605
PtgtUhCYeRBUYcmHQ6rZv5mBkpw57Ptnuxy,7604526718
PtkYqCfjMcsX4h5PZ9NoBDzsUpqbxb3oMi5,7604239884
Pth8z1UcXJtwCsRFBqMDytc56n8maQZrjWJ,7558294119
PtiMH2yxJ3grukR9UP56HV5iDDpn4ELbebe,7519532673
PtW2GaquRYouRSaupxhodpzJE6QHip2VYbd,7509620246
PtoephvAiPyyfceqXbvkbmd5Ygin3DoMdd5,7378109435
PtnhSwdCwHVzMocp2uMgWwMDciv1jQmcNvt,7363516564
PtfhVdSPTgPJ958u5m7xUZCyZcs1xkvUFFK,7362333518
Ptb5CDDNZRwugiNY6p1hzpW5nvs2wymcZLc,7322481755
PtY18cvWr19fM6ChDoPsBeCDg7mZvPXp16u,7230627632
PtU7FpcKnpNU9qBGj9TDAdoejAZSuUeUVqQ,7154430049
PtZ4xCaUehBjGVwm1kTuWJoNzWfpC5Kvnmq,7095621703
PtfVy9wpYqUCxUmF1gfWtFQC2dBeVxFDkdo,7059866001
PtnHQ7mUFqKEu7trZZRnedJR27ZnqipxcTC,7022524525
Ptpb8u5R5GiJvF6CSFkNJrcrpmpLmn2MUcz,7017528589
PtZ3Nj29iQBTracECNdRa6GG63zcKtLhDDy,6991715401
Ptdr3G26WQGYnEFAoNze14Sg62DjAjHdYvT,6989796810
PtnLqdHhTPkddwtuCZu584gKKn46u8HfXev,6986156566
PtngWaQQs3o4UDNRJBhRU47i1LSj4TPJBa7,6983388356
PtVgofWwrwz5iNdijjGfjkMpxs3U4MHqM1g,6895375895
PteymykcCyeN8qicC7BjQLonvajW3ciVaWC,6882696432
Ptk5neb8etbZp2k19AxJa4e3gEa6DW1qjLt,6789120649
PtfmboRfcSYFhURCJRBqQdsj8pzwzXak9it,6765680760
PtkgbsxPe8j5QmJxxd1A1FZkhZbUxHHFB3q,6736691746
PtUQvMDGgaRRdZSPRkU7bQywH68ZKnngEcm,6722290847
Ptb8mR5UEpLirDa8Xam42TMdWR4nDDeXfGK,6721314022
PtpafvGhJEY3aheG7ExuXTi6yYCsPr2EgAR,6704976048
PtkZd9PW7kEFGP3r6ij7FuF7QS85BJU8i6o,6644951423
PtodWaHqyK7uymiY8VkttVGLrTrVN22zmvy,6624764621
Ptr6JfeNAAwRirMGbXw35ZUeznkYqqK1Y2E,6590403401
PtoDYm7vynymSGDc9Jj8UXWSS2XquFnJjSo,6580373562
PtWDrDKqXR2Nzz2oQjVS64W9kuUFVxVDmvt,6541574128
PtenyuXRzhVBTtBPp7C9V1ELhAzgkeings8,6520313290
PtUuZNamgdjKfSyxGmj3GhEBnidNgPBaANc,6497392308
PtePNj4hfSTuBPxm14zLBDb9CzYpL4qL2Mx,6473807967
PtnsBKqwFJSA72u7VgvC4C55SdeYYwVZNUz,6449727464
PtncDiAbVwLrwTge9mb987fLjESiKSGAwSj,6443281661
PtZwKePwisqJ7xc5EtoV4BBv9xLXryhx7JK,6429891501
PtUHxNTgK7E7GCbGLCuAJnjNy793PwN73fu,6411140065
PtfMhRB5E5NVXTDKrwW5UTp4kwNcF1vw5ng,6364014730
Ptcb5dYcEGZpzdyrKB7XLM7kQXzAVN83xkN,6364014730
PtnstYUGTYGyMt3WPr1hpPWJ31WxGvzsWge,6364014730
PtbCMkyLmZbvtAHmZWsRiogi9VRY3j1QGXV,6364014730
PtdySDcS3gKvyBNQ31uKjUewATyZu7eRHdH,6364014730
PtgjjxR1Cnrt8HhYYMxjKkhXAvijKCCRtMd,6364014730
PtUVV2Vp3iFGtKevgi3tzoRKvQRvsdgDHuU,6364014730
PthCP4E9h8QQezrhv9pq5b5xGXyJTXchfY8,6364014730
PtqqpKZKDeREkekncwq2Ap49ggVPzNLssx2,6364014730
PtmGPj5pTWYNX35Xxg7BLsPTNSKbPmQzmdN,6364014730
PtgcN87teWgLZRiy3R1TwQm7eELRLKCtLAe,6364014730
PtZaerpHhwQTxVavJhs7TTPpPWorvvR8qKJ,6364014730
PtWMXaEPCnacFN9dx41dWMr1G4Gk7xR5QTk,6364014730
PtYJkndW1GyTknLfTFvEVF48rAG92D9sPhE,6364014730
PtTYBd3Nzj8MY12yg69j9MNsMcSnMHPArx8,6364014730
PtbUCRsoWWEAzSTuwYhScTXTge8HBNgXajX,6364014730
PtiAo4QRy9ZWTUrnLJM2oJjYeqvxabobQ1o,6364014730
PtZEfKRrKVebxBet52CnZa7yRntZi4HjssD,6364014730
PtT9p2t8qtCUQB4TkjKLi18erRL6QFzCPAp,6364014730
Ptb1EB15Nw5RcqAAdZW6FDKKef9vBUvwoa9,6364014730
PtoaEryGDXp6Hu5wgPUpvSoGRA7eW3Zkdzo,6364014730
PtaspcfY1FHvAQCfga45EmDe2Tp3TWT5EGb,6364014730
PtUkvV7bQjnewUvQngVirC6QacbB1QBBwZi,6363755777
PtdqxSFmX5WEscgZsxEJfiS54CitLE9Kgc3,6361077334
PthSgZ8AvLbfA9pDikKF4VjDua4VutLg8ah,6334184159
PtfYJZAThSwtd9eyoHPmxMCvkUEyFjw45gT,6278100171
PtoBTBbkEb5bT9S1e96Fq6QmtXcYYKURHUM,6234367866
PtTxNNGP5dw3fHh1YfBAjWGbT4qCPVgXPAV,6224889485
PtfSjCTgKCrjHQ9vKn15c7gVuihSzqoCbuJ,6220325615
PtouATX7SoiXmDtCj2x2N1HUtsM58yfboCz,6176658335
Ptnhy6wHKEwvXQx723FGSgDEZX4t3gsP3gG,6168113082
PtbazT1HsiKnSx8vT9VB72wkgqWw8o7DTS7,6150981059
PtXH3cRcnoRrLVaUPcggbgytHZZoHya5bju,6113896812
Pte5G61Wz1aB7XA4o5dvrnnAu2KsRLoviPt,6109417312
PtdNqNMyyCvdUjNPUXsCdFGvi99pTgZxsig,6097848662
PtkLwVBHp4fJD8gkbvCoSscxFYkoNEooiMc,6082061387
Pteytbkrq8T2AF5iwUxkr7a2DHXrBb25bmu,6077058835
Ptn3RMjJjqtYXUbuWTX4AiVCvaPBxmuLQE1,6057363871
PtkCpaUNpFCLp81byTSPCB9qQKwvR8bWmgG,6056200904
PtecTX31nedMWc3z6T9Y1DpLeasaNdd9EEX,6029269756
PtgJ8GzcbrebcFXQYGvMRNgmvQPcmzf5EEj,6011512658
PtUGZFtrhBt64kqATwQpEe7Pa71huUhH7Vw,5938097896
PtqG62apudYxtF4DS3aV41tFeeFQyqoNiHa,5855617411
PtmHgNxZ6MF8AnY8Qui73D4S2mrFPrPrByk,5843459502
PtYBmbvp3sk2nH9sLdoWgTUrvUt3rZZZe3d,5826343329
PtZN7FhBbJy9tdJP4GtT7PShMjSxhzpYgyt,5804237053
PtodDMpbvfSAcFnSfUwYqxLsZG6QGgn7qVw,5730145485
PtisydPNAQ4rJ1xNWRQH6WqqEXuYRFhheWF,5584276068
PthrdH54hiLgngVUiKVERvF6MJBRaUoRA8M,5542358694
